Team Name,W,D,L,GF,GA
BeForward Wanderers,13,8,4,34,17
Blue Eagles,6,11,11,26,
Civil Service United,10,12,6,33,
Ekwendeni Hammers,10,8,,31,
Kamuzu Barracks,9,11,8,27,
Karonga United,12,9,7,33,22
MACO FC,,12,7,31,27
Mighty Tigers,8,8,14,,33
Moyale Barracks,11,8,8,,32
Mzuzu Warriors,4,6,20,,51
Ntopa FC,5,5,18,28,53
Nyasa Big Bullets,16,8,3,45,15
Red Lions,9,8,11,25,27
Savenda Chitipa United,8,5,16,21,40
Silver Strikers,17,4,,53,18
TN  Stars,11,7,10,26,38
